Id,Date,League,HomeTeam,AwayTeam,HomeWin,Draw,AwayWin,OverOneGoal,OverTwoGoals,OverThreeGoals,OverFourGoals,UnderOneGoal,UnderTwoGoals,UnderThreeGoals,UnderFourGoals
58,8.10.2024 18:00,England - Premier League Cup U21,Birmingham City,Charlton Athletic,0.364,0.213,0.422,0,0.67,0.446,0.32,0,0.33,0.554,0.68
68,8.10.2024 18:45,England - Northern Premier League Division 1,Bootle FC,Congleton Town,0.433,0.205,0.363,0,0.684,0.461,0.337,0,0.316,0.539,0.663
79,8.10.2024 18:45,England - Northern Premier League Division 1,Bridlington,Newton Aycliffe,0.393,0.244,0.363,0,0.603,0.381,0,0,0.397,0.619,0
